Распределение температуры на момент времени t = 60 секунд:
x = 0, T = 300 C
x = 0.000200401, T = 298.88 C
x = 0.000400802, T = 297.76 C
x = 0.000601202, T = 296.639 C
x = 0.000801603, T = 295.519 C
x = 0.001002, T = 294.399 C
x = 0.0012024, T = 293.28 C
x = 0.00140281, T = 292.16 C
x = 0.00160321, T = 291.041 C
x = 0.00180361, T = 289.922 C
x = 0.00200401, T = 288.803 C
x = 0.00220441, T = 287.685 C
x = 0.00240481, T = 286.567 C
x = 0.00260521, T = 285.449 C
x = 0.00280561, T = 284.332 C
x = 0.00300601, T = 283.215 C
x = 0.00320641, T = 282.099 C
x = 0.00340681, T = 280.983 C
x = 0.00360721, T = 279.868 C
x = 0.00380762, T = 278.754 C
x = 0.00400802, T = 277.64 C
x = 0.00420842, T = 276.527 C
x = 0.00440882, T = 275.414 C
x = 0.00460922, T = 274.302 C
x = 0.00480962, T = 273.192 C
x = 0.00501002, T = 272.081 C
x = 0.00521042, T = 270.972 C
x = 0.00541082, T = 269.864 C
x = 0.00561122, T = 268.756 C
x = 0.00581162, T = 267.65 C
x = 0.00601202, T = 266.544 C
x = 0.00621242, T = 265.44 C
x = 0.00641283, T = 264.336 C
x = 0.00661323, T = 263.234 C
x = 0.00681363, T = 262.132 C
x = 0.00701403, T = 261.032 C
x = 0.00721443, T = 259.933 C
x = 0.00741483, T = 258.835 C
x = 0.00761523, T = 257.738 C
x = 0.00781563, T = 256.643 C
x = 0.00801603, T = 255.549 C
x = 0.00821643, T = 254.456 C
x = 0.00841683, T = 253.365 C
x = 0.00861723, T = 252.275 C
x = 0.00881764, T = 251.187 C
x = 0.00901804, T = 250.1 C
x = 0.00921844, T = 249.014 C
x = 0.00941884, T = 247.93 C
x = 0.00961924, T = 246.847 C
x = 0.00981964, T = 245.767 C
x = 0.01002, T = 244.687 C
x = 0.0102204, T = 243.61 C
x = 0.0104208, T = 242.534 C
x = 0.0106212, T = 241.459 C
x = 0.0108216, T = 240.387 C
x = 0.011022, T = 239.316 C
x = 0.0112224, T = 238.247 C
x = 0.0114228, T = 237.18 C
x = 0.0116232, T = 236.115 C
x = 0.0118236, T = 235.052 C
x = 0.012024, T = 233.99 C
x = 0.0122244, T = 232.931 C
x = 0.0124248, T = 231.873 C
x = 0.0126253, T = 230.818 C
x = 0.0128257, T = 229.764 C
x = 0.0130261, T = 228.713 C
x = 0.0132265, T = 227.664 C
x = 0.0134269, T = 226.617 C
x = 0.0136273, T = 225.572 C
x = 0.0138277, T = 224.529 C
x = 0.0140281, T = 223.488 C
x = 0.0142285, T = 222.45 C
x = 0.0144289, T = 221.414 C
x = 0.0146293, T = 220.38 C
x = 0.0148297, T = 219.349 C
x = 0.0150301, T = 218.32 C
x = 0.0152305, T = 217.293 C
x = 0.0154309, T = 216.269 C
x = 0.0156313, T = 215.247 C
x = 0.0158317, T = 214.228 C
x = 0.0160321, T = 213.211 C
x = 0.0162325, T = 212.197 C
x = 0.0164329, T = 211.185 C
x = 0.0166333, T = 210.176 C
x = 0.0168337, T = 209.169 C
x = 0.0170341, T = 208.165 C
x = 0.0172345, T = 207.164 C
x = 0.0174349, T = 206.165 C
x = 0.0176353, T = 205.169 C
x = 0.0178357, T = 204.176 C
x = 0.0180361, T = 203.186 C
x = 0.0182365, T = 202.198 C
x = 0.0184369, T = 201.213 C
x = 0.0186373, T = 200.231 C
x = 0.0188377, T = 199.252 C
x = 0.0190381, T = 198.276 C
x = 0.0192385, T = 197.303 C
x = 0.0194389, T = 196.332 C
x = 0.0196393, T = 195.365 C
x = 0.0198397, T = 194.4 C
x = 0.0200401, T = 193.439 C
x = 0.0202405, T = 192.481 C
x = 0.0204409, T = 191.525 C
x = 0.0206413, T = 190.573 C
x = 0.0208417, T = 189.624 C
x = 0.0210421, T = 188.678 C
x = 0.0212425, T = 187.735 C
x = 0.0214429, T = 186.795 C
x = 0.0216433, T = 185.858 C
x = 0.0218437, T = 184.925 C
x = 0.0220441, T = 183.995 C
x = 0.0222445, T = 183.068 C
